# Opsim baseline2018b + Orbitfile mbas_2k
# ./baseline2018b_mbas_2k.txt
# ephemeris generation via PyOrbEphemerides
# planetary ephemeris file /epyc/projects/sssc/sources/oorb/data/de430.dat 
# obscode I11
# direct obs header metadata
# observation generation via DirectObs
# ephMode nbody prelimEphMode 2body
# rough tolerance for preliminary match 10.000000
# time step for preliminary match 1.000000
# pointing footprint camera
# obsRA fieldRA obsDec fieldDec obsRotSkyPos rotSkyPos obsDeg True
# obsMJD observationStartMJD obsTimeScale TAI seeing seeingFwhmGeom expTime visitExposureTime
objId time ra dec dradt ddecdt phase solarelon helio_dist geo_dist magV trueAnomaly velocity observationStartMJD night fieldRA fieldDec rotSkyPos filter visitExposureTime seeingFwhmEff seeingFwhmGeom fiveSigmaDepth solarElong magFilter dmagColor dmagTrail dmagDetect 
268897 60042.4165856 295.883409309 -5.44399071936 0.19036435089 0.113217896571 17.8546369138 81.5007132595 3.22931894907 3.22170960695 24.6914233838 226.713432035 0.221487873695 60042.4165856 190 295.790163 -4.576899 262.321162253 y 30.0 0.801152378944 0.710547255492 21.7272054081 81.7786483763 24.3885462173 -0.302877166451 0.0415426782946 0.0335191956946 
268897 60045.4124769 296.452609632 -5.10294493489 0.180124674415 0.11417508161 17.9716012816 83.7205412172 3.22795523845 3.18001847182 24.666019281 227.217277957 0.213262391419 60045.4124769 193 295.790163 -4.576899 263.500941944 y 30.0 0.765586894427 0.681312427219 21.9555991403 84.5985160794 24.3631421146 -0.302877166451 0.0418250841108 0.0337911911675 
268897 60063.4125231 299.164946632 -3.02691841353 0.109626207804 0.114735437162 18.0640815538 97.5056693767 3.21944573413 2.9291957788 24.4848786985 230.255063281 0.158688770801 60063.4125231 211 298.896698 -4.370346 264.099301124 i 30.0 0.869996706895 0.767137293067 23.6635805992 98.396760464 24.1922590256 -0.292619672813 0.0208346919366 0.0150227733446 
268897 60069.3713889 299.769365051 -2.34873943798 0.0836670092018 0.112640585924 17.8408175991 102.248157689 3.21651148036 2.84787038993 24.4145143383 231.264813298 0.140314183268 60069.3713889 217 300.518929 -1.720965 201.726089889 y 30.0 0.967190714355 0.8470307672 21.7629741696 101.656951373 24.1116371718 -0.302877166451 0.0140934713622 0.00968321710279 
268897 60071.344375 299.934878679 -2.12733262946 0.0749360204795 0.111676855681 17.7370780461 103.838985451 3.21552733517 2.82132354035 24.3901397395 231.599603557 0.134488390801 60071.344375 219 300.518929 -1.720965 268.847491068 z 30.0 0.705300349301 0.631756887126 22.8647321408 103.465031334 24.0920507479 -0.29808899161 0.0218963609091 0.0158968995173 
268897 60072.3592824 300.01300082 -2.01420392251 0.0701068042854 0.111157004499 17.6776748387 104.661529661 3.21501866183 2.80775147256 24.3773911115 231.771910353 0.131418581853 60072.3592824 220 300.518929 -1.720965 265.52709213 y 30.0 0.707946393743 0.633931935657 22.0812090443 104.394088244 24.0745139451 -0.302877166451 0.020913175243 0.0150870950845 
268897 60077.3826736 300.329295056 -1.46341960952 0.0462191128473 0.107919871331 17.3234791552 108.774280583 3.21247679731 2.74155774296 24.3123019263 232.625669343 0.117400617633 60077.3826736 225 300.518929 -1.720965 231.558675328 i 30.0 0.706869622681 0.633046829844 23.7664152845 108.979133154 24.0196822535 -0.292619672813 0.0172137643946 0.0121081706237 
268897 60077.40375 300.330268681 -1.4611450079 0.0461269830603 0.107919543284 17.3216823318 108.791779184 3.21246604835 2.74128386435 24.3120189016 232.629254619 0.117364076228 60077.40375 225 300.518929 -1.720965 239.472463129 i 30.0 0.716840785475 0.64124312566 23.7509669041 108.998401113 24.0193992288 -0.292619672813 0.0168189328526 0.0117967760739 
268897 60078.3797685 300.37785317 -1.35619999132 0.0413925613168 0.107139612384 17.2410597786 109.598877827 3.21196751174 2.72863511181 24.2989983527 232.795313266 0.114857479835 60078.3797685 226 300.518929 -1.720965 249.252748439 y 30.0 0.633280216063 0.572556337604 22.3390533244 109.88641531 23.9961211862 -0.302877166451 0.0197516340127 0.0141400477296 
268897 60083.3723032 300.548001069 -0.83233447404 0.0167643419485 0.102529200131 16.7666811597 113.767960565 3.20939402211 2.6651991864 24.2305780755 233.645644834 0.103890712003 60083.3723032 231 300.518929 -1.720965 248.790250691 r 30.0 0.78210672358 0.694891726782 24.352272708 114.413660313 24.0532842298 -0.177293845688 0.0117266009894 0.00790087520954 
268897 60083.4065625 300.548574016 -0.828822199626 0.0166905379704 0.102507483237 16.7629108005 113.7969514 3.20937622815 2.6647725549 24.2300939838 233.651485166 0.103857393465 60083.4065625 231 300.518929 -1.720965 216.102090272 r 30.0 0.863882523267 0.762111434126 24.2352641907 114.444759835 24.0528001381 -0.177293845688 0.00991583296035 0.00657276164465 
268897 60087.3285301 300.595304582 -0.435401390823 -0.00294620331016 0.098015498467 16.3175953132 117.116052982 3.20732716911 2.61665195107 24.1743917866 234.320559957 0.0980597677628 60087.3285301 235 299.025497 0.674445 262.995949794 u 30.0 1.0308503992 0.899359028139 23.1735181186 118.409483702 25.7186029773 1.54421119067 0.00658461799972 0.00421709804026 
268897 60096.3036921 300.411745663 0.388903454513 -0.048041927906 0.0850549511538 15.0632986776 124.828611266 3.20254931226 2.5134048315 24.0416741373 235.855308851 0.0976850630993 60096.3036921 244 299.025497 0.674445 191.268136494 y 30.0 0.830054629745 0.73430490565 21.9841762795 126.208429698 23.7387969709 -0.302877166451 0.00949025228469 0.00626530147243 
